0,6.16
1,6.2
2,6.49
3,7.15
4,8.93
5,12.04
6,19.29
7,29.62
8,43.13
9,49.56
10,57.54
11,62.72
12,65.54
13,66.31
14,66.02
15,67.49
16,68.11
17,71.31
18,75.19
19,74.94
20,74.85
21,74.21
22,74.35
23,75.13
24,76.54
25,76.4
26,76.12
27,76.58
28,78.02
29,79.11
30,80.58
31,84.13
32,86.02
33,87.91
34,89.0
35,89.39
36,89.18
37,89.53
38,89.35
39,88.41
40,84.96
41,84.15
42,86.55
43,86.95
44,88.81
45,89.26
46,89.49
47,89.94
48,90.11
49,90.17
50,89.93
51,89.84
52,89.91
53,89.95
